Event	ID	Name			Wwise Object Path	Notes
	319492235	E_REBEL_SHOOT			\Default Work Unit\Game\Characters\Enemies\Rebel\E_REBEL_SHOOT	
	464895987	UI_A_MENU			\Default Work Unit\UI\Menu\UI_A_MENU	
	587747760	E_QUEEN_CHANGE			\Default Work Unit\Game\Characters\Enemies\Queen\E_QUEEN_CHANGE	
	830312572	DEBUG_MUSIC2			\Default Work Unit\Debug\DEBUG_MUSIC2	
	830312575	DEBUG_MUSIC1			\Default Work Unit\Debug\DEBUG_MUSIC1	
	895381461	A_CAMP_2			\Default Work Unit\Game\Ambience\Level 2\A_CAMP_2	
	933371860	W_M4_SHOOT			\Default Work Unit\Game\Weapons\M4\W_M4_SHOOT	
	947529532	P_DEATH			\Default Work Unit\Game\Characters\Player\P_DEATH	
	975078008	E_QUEEN_BOMB			\Default Work Unit\Game\Characters\Enemies\Queen\E_QUEEN_BOMB	
	1073763149	P_HIT			\Default Work Unit\Game\Characters\Player\P_HIT	
	1098830151	VO_GUARD2_VL1_0			\Default Work Unit\Voice Over\0-Narrative Intro\VO_GUARD2_VL1_0	
	1479922750	E_QUEEN_DEATH			\Default Work Unit\Game\Characters\Enemies\Queen\E_QUEEN_DEATH	
	1535709413	DEBUG_GUNSHOT			\Default Work Unit\Debug\DEBUG_GUNSHOT	
	1547765315	A_AMBIENT_1			\Default Work Unit\Game\Ambience\Level 1\A_AMBIENT_1	
	1644504899	E_X_ADULT_STEP			\Default Work Unit\Game\Characters\Enemies\Xenomorph\Adult\E_X_ADULT_STEP	
	1941667005	P_PICK			\Default Work Unit\Game\Characters\Player\P_PICK	
	2100764501	E_CB_DEATH			\Default Work Unit\Game\Characters\Enemies\Chest buster\E_CB_DEATH	
	2118900976	UI_HOVER			\Default Work Unit\UI\Menu\UI_HOVER	
	2147632472	W_M4_RELOAD			\Default Work Unit\Game\Weapons\M4\W_M4_RELOAD	
	2172450704	VO_GUARD2_VL2_0			\Default Work Unit\Voice Over\0-Narrative Intro\VO_GUARD2_VL2_0	
	2206507859	P_ROLL			\Default Work Unit\Game\Characters\Player\P_ROLL	
	2247807735	E_X_ADULT_SPIT			\Default Work Unit\Game\Characters\Enemies\Xenomorph\Adult\E_X_ADULT_SPIT	
	2249769530	UI_CLICK			\Default Work Unit\UI\Menu\UI_CLICK	
	2489932272	E_REBEL_STEP			\Default Work Unit\Game\Characters\Enemies\Rebel\E_REBEL_STEP	
	2711568226	E_FH_JUMP			\Default Work Unit\Game\Characters\Enemies\Facehugger\E_FH_JUMP	
	3010972734	W_SL_SHOOT			\Default Work Unit\Game\Weapons\Shoulder laser\W_SL_SHOOT	
	3271687631	E_X_ADULT_MELEE			\Default Work Unit\Game\Characters\Enemies\Xenomorph\Adult\E_X_ADULT_MELEE	
	3286329979	E_EGG_CRACK			\Default Work Unit\Game\Characters\Enemies\Egg\E_EGG_CRACK	
	3480783404	E_QUEEN_JUMP			\Default Work Unit\Game\Characters\Enemies\Queen\E_QUEEN_JUMP	
	3486252281	A_COMBAT_1			\Default Work Unit\Game\Ambience\Level 1\A_COMBAT_1	
	3576793690	E_QUEEN_SPIT			\Default Work Unit\Game\Characters\Enemies\Queen\E_QUEEN_SPIT	
	3632435752	DEBUG_SPATIAL1			\Default Work Unit\Debug\DEBUG_SPATIAL1	
	3632435755	DEBUG_SPATIAL2			\Default Work Unit\Debug\DEBUG_SPATIAL2	
	3778713374	E_QUEEN_STEP			\Default Work Unit\Game\Characters\Enemies\Queen\E_QUEEN_STEP	
	3783962382	UI_PAUSEGAME			\Default Work Unit\UI\UI_PAUSEGAME	
	3828971157	E_X_ADULT_DEATH			\Default Work Unit\Game\Characters\Enemies\Xenomorph\Adult\E_X_ADULT_DEATH	
	3875642140	P_STEP			\Default Work Unit\Game\Characters\Player\P_STEP	
	3919743498	P_DASH			\Default Work Unit\Game\Characters\Player\P_DASH	
	3938483819	E_FH_CRAWL			\Default Work Unit\Game\Characters\Enemies\Facehugger\E_FH_CRAWL	
	3949582022	W_M4_AIM			\Default Work Unit\Game\Weapons\M4\W_M4_AIM	
	4009974304	E_REBEL_DEATH			\Default Work Unit\Game\Characters\Enemies\Rebel\E_REBEL_DEATH	
	4189504465	A_RUINS_2			\Default Work Unit\Game\Ambience\Level 2\A_RUINS_2	
	4203716004	E_FH_DEATH			\Default Work Unit\Game\Characters\Enemies\Facehugger\E_FH_DEATH	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	52880726	SFX_Queen_Death_E	C:\Users\julia\OneDrive\Documents\GitHub\Project3\TheOneEngine\TheOneEditor\Assets\Audio\Wwise Project\.cache\Windows\SFX\SFX_QueenDeath_E_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Game\Characters\Enemies\Queen\SFX_Queen_Death_E		421022
	92885057	SFX_Facehugger_Jump_E	C:\Users\julia\OneDrive\Documents\GitHub\Project3\TheOneEngine\TheOneEditor\Assets\Audio\Wwise Project\.cache\Windows\SFX\SFX_Facehugger_Jump_E_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Game\Characters\Enemies\Facehugger\SFX_Facehugger_Jump_E		158576
	102266085	spatial2	C:\Users\julia\OneDrive\Documents\GitHub\Project3\TheOneEngine\TheOneEditor\Assets\Audio\Wwise Project\.cache\Windows\SFX\Bass160Fight_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Debug\spatial2		1058496
	140181390	SFX_Xenomorph_Footsetps_E	C:\Users\julia\OneDrive\Documents\GitHub\Project3\TheOneEngine\TheOneEditor\Assets\Audio\Wwise Project\.cache\Windows\SFX\SFX_Xenomorph_Footsetps_E_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Game\Characters\Enemies\Xenomorph\Adult\SFX_Xenomorph_Footsetps_E		215368
	155174684	UI_Menu_Click_SFX	C:\Users\julia\OneDrive\Documents\GitHub\Project3\TheOneEngine\TheOneEditor\Assets\Audio\Wwise Project\.cache\Windows\SFX\UI_Menu_Click_SFX_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\Menu\UI_Menu_Click_SFX		374632
	180490151	SFX_Queen_AcidSpit_E	C:\Users\julia\OneDrive\Documents\GitHub\Project3\TheOneEngine\TheOneEditor\Assets\Audio\Wwise Project\.cache\Windows\SFX\SFX_AcidSpit_E_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Game\Characters\Enemies\Queen\SFX_Queen_AcidSpit_E		32864
	188792581	SFX_Rebel_death_E	C:\Users\julia\OneDrive\Documents\GitHub\Project3\TheOneEngine\TheOneEditor\Assets\Audio\Wwise Project\.cache\Windows\SFX\SFX_Rebel_death_E_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Game\Characters\Enemies\Rebel\SFX_Rebel_death_E		257604
	221057048	SFX_Player_Dash_CH	C:\Users\julia\OneDrive\Documents\GitHub\Project3\TheOneEngine\TheOneEditor\Assets\Audio\Wwise Project\.cache\Windows\SFX\SFX_CH_playerdash_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Game\Characters\Player\SFX_Player_Dash_CH		195524
	224668572	AM_Ambient_Level_2_Camp	C:\Users\julia\OneDrive\Documents\GitHub\Project3\TheOneEngine\TheOneEditor\Assets\Audio\Wwise Project\.cache\Windows\SFX\SFX_W_camp_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Game\Ambience\Level 2\AM_Ambient_Level_2_Camp		16690056
	257220973	SFX_Player_Roll_CH	C:\Users\julia\OneDrive\Documents\GitHub\Project3\TheOneEngine\TheOneEditor\Assets\Audio\Wwise Project\.cache\Windows\SFX\SFX_CH_playerroll_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Game\Characters\Player\SFX_Player_Roll_CH		148252
	260252503	SFX_CH_m4_aim	C:\Users\julia\OneDrive\Documents\GitHub\Project3\TheOneEngine\TheOneEditor\Assets\Audio\Wwise Project\.cache\Windows\SFX\SFX_CH_m4_aim_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Game\Weapons\M4\SFX_CH_m4_aim		83220
	261288475	VO_Guard2_voiceline2_0	C:\Users\julia\OneDrive\Documents\GitHub\Project3\TheOneEngine\TheOneEditor\Assets\Audio\Wwise Project\.cache\Windows\SFX\VO_guard2_voiceline2_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Voice Over\0-Narrative Intro\VO_Guard2_voiceline2_0		470288
	303888556	AM_Combat_Level_1	C:\Users\julia\OneDrive\Documents\GitHub\Project3\TheOneEngine\TheOneEditor\Assets\Audio\Wwise Project\.cache\Windows\SFX\AM_Combat_Level_1_2822E220.wem		\Actor-Mixer Hierarchy\Default Work Unit\Game\Ambience\Level 1\AM_Combat_Level_1		1843648
